TargetName	B022-A-mouseWTA | 001 | CD31	B022-A-mouseWTA | 002 | CD31	B022-A-mouseWTA | 003 | CD31	B022-A-mouseWTA | 005 | CD31	B022-A-mouseWTA | 006 | CD31	B022-A-mouseWTA | 007 | CD31	B022-A-mouseWTA | 008 | CD31	B022-A-mouseWTA | 009 | CD31	B022-A-mouseWTA | 010 | CD31	B022-A-mouseWTA | 011 | CD31	B022-A-mouseWTA | 013 | CD31	B022-A-mouseWTA | 014 | CD31	B022-A-mouseWTA | 015 | CD31	B022-A-mouseWTA | 016 | CD31	B022-A-mouseWTA | 017 | CD31	B022-A-mouseWTA | 018 | CD31	B022-A-mouseWTA | 019 | CD31	B022-A-mouseWTA | 020 | CD31	B022-A-mouseWTA | 021 | CD31	B022-A-mouseWTA | 022 | CD31	B022-A-mouseWTA | 023 | CD31	B022-B-mouseWTA | 001 | CD31	B022-B-mouseWTA | 002 | CD31	B022-B-mouseWTA | 003 | CD31	B022-B-mouseWTA | 004 | CD31	B022-B-mouseWTA | 005 | CD31	B022-B-mouseWTA | 006 | CD31	B022-B-mouseWTA | 007 | CD31	B022-B-mouseWTA | 008 | CD31	B022-B-mouseWTA | 009 | CD31	B022-B-mouseWTA | 010 | CD31	B022-B-mouseWTA | 011 | CD31	B022-B-mouseWTA | 012 | CD31	B022-B-mouseWTA | 013 | CD31	B022-B-mouseWTA | 014 | CD31	B022-B-mouseWTA | 015 | CD31	B022-B-mouseWTA | 016 | CD31	B022-B-mouseWTA | 017 | CD31	B022-B-mouseWTA | 018 | CD31	B022-B-mouseWTA | 019 | CD31	B022-B-mouseWTA | 020 | CD31	B022-B-mouseWTA | 021 | CD31
Vkorc1l1	12.30239381	11.35605582	14.90482326	16.84893065	14.76287257	8.611675664	16.51110748	11.53349419	14.49924984	15.37799226	7.688996128	14.88192799	10.14947489	24.60478761	12.9175135	6.151196903	6.151196903	11.07215442	15.81736346	5.536077212	13.362945	8.85772354	9.226795354	14.19506978	14.35279277	14.49924984	12.7755628	19.47879019	12.86159352	14.60909264	17.59528416	10.76459458	12.62614101	15.6855521	12.68684361	11.74319409	12.98586013	11.18399437	12.68684361	7.738602555	9.001751565	14.52729481
Gspt1	28.29550575	34.06816746	43.29496282	37.70951145	33.21646327	24.60478761	30.1084901	32.29378374	35.58906779	31.52488413	24.60478761	36.3119043	25.83502699	18.45359071	38.75254049	18.45359071	32.29378374	29.52574513	18.45359071	29.52574513	28.63488213	36.16903779	29.9870849	46.84373026	16.40319174	25.04415882	38.32668839	39.47018013	43.05837832	57.66747096	36.47802814	13.84019303	2.913724849	13.84019303	11.53349419	13.42079324	15.71972542	14.53919268	12.1101689	9.524433914	12.60245219	11.3862581
Kalrn	20.91406947	7.807288377	9.226795354	10.4302904	13.53263319	3.690718142	15.53986586	16.14689187	15.81736346	26.14258684	4.613397677	16.66775935	11.99483396	18.45359071	5.536077212	16.40319174	9.226795354	7.381436283	10.54490898	7.381436283	13.99927571	11.81029805	10.38014477	7.097534888	8.20159587	18.45359071	12.7755628	8.714195612	19.01279043	21.52918916	10.72883181	21.91363897	15.53986586	13.84019303	13.84019303	5.032797466	13.66932645	10.62479465	10.38014477	13.69137375	18.90367829	38.08507019
Ptp4a2	43.05837832	30.51940002	34.06816746	30.48854117	28.29550575	27.06526637	54.38953051	23.06698839	50.08831764	36.1382818	39.98277987	48.21744669	53.51541305	30.75598451	33.21646327	26.65518658	29.21818529	29.52574513	18.45359071	25.83502699	33.08919713	50.19376673	39.21388025	45.42422328	41.00797935	39.54340866	24.13161862	36.39458167	48.6503755	38.44498064	38.19464123	21.14473935	18.45359071	23.98966792	31.14043432	31.87438395	42.374912	34.11118282	29.41041019	26.78747038	27.45534227	24.73566414
Csf1r	7.381436283	7.097534888	9.226795354	8.825630339	9.841915044	9.841915044	11.65489939	6.920096516	2.636227244	17.6846911	9.226795354	5.357494077	6.458756748	12.30239381	16.60823164	8.20159587	7.688996128	3.690718142	5.272454488	9.226795354	9.544960711	16.23915982	12.68684361	9.936548843	14.35279277	15.81736346	7.097534888	10.76459458	7.26959634	8.457895741	3.862379451	12.68684361	18.45359071	18.45359071	12.68684361	18.45359071	23.57958813	27.95998592	32.87045845	10.71498815	20.7040286	13.74203563
Arih1	22.14430885	22.00235815	24.13161862	15.24427059	23.37454823	15.99311195	25.25228202	23.06698839	21.08981795	22.29808877	21.52918916	20.83469919	22.14430885	12.30239381	14.76287257	38.95758038	10.76459458	25.83502699	13.18113622	27.68038606	23.54423642	18.45359071	24.2203378	24.13161862	12.30239381	28.99849968	22.71211164	16.40319174	32.43358367	30.75598451	21.88681689	23.45143819	22.33855717	18.45359071	17.30024129	20.13118986	15.71972542	18.45359071	14.41686774	27.97802462	15.30297766	17.27570194
Naxe	8.611675664	7.097534888	13.48531629	9.62796037	4.920957522	14.76287257	2.913724849	4.613397677	10.54490898	9.995694967	13.84019303	3.571662718	6.458756748	6.151196903	11.07215442	16.40319174	3.075598451	11.07215442	13.18113622	1.845359071	10.18129143	14.02472894	5.766747096	15.61457675	4.100797935	10.54490898	11.35605582	10.76459458	5.591997184	7.688996128	9.012218718	11.53349419	10.68365778	12.9175135	14.99354245	13.42079324	14.01105961	8.947195495	10.38014477	11.90554239	11.70227703	11.77888769
Mef2d	15.99311195	18.45359071	22.00235815	13.63961052	20.91406947	24.60478761	19.42483232	20.76028955	19.77170433	20.76028955	18.45359071	22.62053055	23.98966792	15.37799226	16.60823164	10.25199484	24.60478761	25.83502699	26.36227244	23.98966792	16.54459857	27.31131425	10.38014477	25.5511256	16.40319174	17.13547709	17.03408373	20.50398968	17.89439099	15.37799226	18.45359071	22.68253858	29.13724849	17.53091117	16.14689187	18.45359071	22.8961218	17.89439099	13.84019303	27.3827475	25.65499196	29.44721922
Slbp	11.07215442	12.7755628	9.936548843	7.220970277	11.07215442	11.07215442	11.65489939	9.226795354	10.54490898	18.45359071	12.30239381	18.45359071	5.536077212	9.226795354	11.07215442	4.100797935	15.37799226	3.690718142	2.636227244	14.76287257	12.09028357	14.76287257	11.53349419	7.097534888	8.20159587	6.59056811	4.258520933	12.30239381	17.89439099	16.91579148	15.87867107	3.075598451	7.76993293	10.14947489	9.226795354	8.387995776	7.176396387	8.947195495	6.920096516	6.548048316	4.050788204	4.318925485
Lgals8	14.76287257	10.64630233	13.48531629	12.83728049	6.151196903	12.30239381	0.971241616	4.613397677	6.59056811	11.53349419	10.76459458	7.738602555	6.458756748	9.226795354	9.226795354	6.151196903	9.226795354	22.14430885	10.54490898	5.536077212	10.18129143	10.3340108	11.53349419	4.258520933	10.25199484	1.318113622	12.7755628	8.20159587	13.97999296	11.53349419	8.583065446	12.30239381	8.741174546	11.99483396	14.99354245	15.0983924	11.27719432	8.387995776	9.226795354	19.04886783	10.80210188	8.24522138
Hspb8	13.53263319	12.06580931	15.61457675	14.44194055	12.30239381	11.07215442	21.36731556	9.226795354	13.18113622	9.995694967	18.45359071	19.64414495	15.6855521	3.075598451	7.381436283	4.100797935	15.37799226	14.76287257	10.54490898	12.9175135	12.72661428	18.45359071	16.14689187	18.45359071	6.151196903	14.49924984	19.87309769	8.714195612	5.591997184	9.226795354	6.866452357	7.688996128	8.741174546	17.53091117	6.920096516	8.387995776	14.35279277	8.947195495	12.1101689	11.31026527	9.001751565	8.24522138
Gabarapl1	33.21646327	29.09989304	30.51940002	16.84893065	27.06526637	18.45359071	31.07973172	13.84019303	28.99849968	25.37368722	16.91579148	26.78747038	35.98450188	18.45359071	18.45359071	16.40319174	41.52057909	33.21646327	23.7260452	20.29894978	22.27157499	28.7876015	23.06698839	28.39013955	43.05837832	36.90718142	28.39013955	31.26858426	25.72318705	16.91579148	28.32411597	63.04976825	48.56208081	36.90718142	27.68038606	30.1967848	28.36385238	39.70318001	24.79701251	36.90718142	50.85989634	54.57551295
Pbk	9.841915044	17.74383722	8.517041865	12.03495046	22.14430885	14.76287257	13.59738263	4.613397677	14.49924984	13.07129342	10.76459458	11.90554239	15.6855521	3.075598451	16.60823164	14.35279277	7.688996128	3.690718142	13.18113622	5.536077212	13.362945	12.54844168	16.14689187	17.03408373	16.40319174	11.8630226	12.7755628	9.739395096	9.506395213	9.226795354	10.72883181	8.457895741	7.76993293	15.6855521	12.68684361	11.74319409	10.93546116	7.828796058	8.073445935	5.952771196	8.551663987	9.030480559
Pgm2l1	17.22335133	14.19506978	12.06580931	16.84893065	9.841915044	12.30239381	15.53986586	13.84019303	17.13547709	6.920096516	12.30239381	17.26303647	14.76287257	12.30239381	7.381436283	16.40319174	10.76459458	11.07215442	5.272454488	12.9175135	14.63560642	14.76287257	13.84019303	14.19506978	24.60478761	7.908681732	14.19506978	11.78979406	7.828796058	17.6846911	17.59528416	26.91148645	12.62614101	11.99483396	14.99354245	13.42079324	14.01105961	16.77599155	18.45359071	7.738602555	14.4028025	25.91355291
Man2a1	30.75598451	29.09989304	39.74619537	28.08155108	27.06526637	27.06526637	24.28104041	18.45359071	25.04415882	19.22249032	27.68038606	38.09773566	48.90201538	18.45359071	18.45359071	28.70558555	24.60478761	33.21646327	28.99849968	31.3711042	26.72588999	17.71544708	28.83373548	26.97063257	38.95758038	22.40793157	18.45359071	31.781184	25.16398733	19.22249032	39.05294778	16.14689187	8.741174546	17.53091117	16.14689187	16.77599155	23.23785497	21.2495893	16.14689187	17.26303647	14.4028025	15.31255399
She	14.76287257	17.74383722	21.29260466	17.65126068	12.30239381	20.91406947	13.59738263	23.06698839	13.18113622	16.91579148	19.99138993	13.09609663	18.45359071	12.30239381	20.29894978	10.25199484	18.45359071	22.14430885	10.54490898	12.9175135	20.36258285	20.66802159	14.99354245	15.61457675	10.25199484	14.49924984	15.61457675	14.86539251	19.57199015	24.60478761	17.59528416	12.30239381	19.42483232	11.07215442	25.37368722	11.74319409	24.60478761	18.45359071	20.18361484	39.88356701	11.25218946	14.9199244
Chrac1	15.99311195	14.19506978	12.7755628	9.62796037	8.611675664	11.07215442	16.51110748	16.14689187	14.49924984	17.6846911	9.226795354	17.26303647	8.304115819	12.30239381	7.381436283	20.50398968	12.30239381	22.14430885	13.18113622	9.226795354	14.63560642	12.54844168	10.38014477	19.87309769	30.75598451	18.45359071	15.61457675	12.30239381	14.53919268	13.84019303	12.4454449	12.68684361	13.59738263	7.381436283	14.99354245	18.45359071	14.35279277	12.86159352	16.14689187	11.31026527	14.4028025	12.95677645
Rnd3	11.07215442	9.226795354	7.097534888	6.418640246	12.30239381	6.151196903	7.76993293	6.920096516	7.908681732	9.226795354	6.151196903	11.90554239	8.304115819	9.226795354	9.226795354	14.35279277	12.30239381	11.07215442	5.272454488	1.845359071	7.635968569	10.3340108	11.53349419	11.35605582	10.25199484	10.54490898	2.839013955	6.663796645	9.506395213	9.995694967	5.57899254	15.37799226	28.16600687	12.9175135	5.766747096	5.032797466	9.226795354	8.947195495	9.803470064	23.81108478	12.15236461	6.674703022
